Climate Division,Temperature Change
101,-0.294037192
102,-0.234474868
103,-0.661866435
104,-0.220764618
105,-0.242089482
106,-0.432744154
107,-0.521121018
108,0.075600358
201,2.096787133
202,1.463899629
203,2.291893527
204,2.023514559
205,2.793129751
206,2.685887319
207,1.544004314
301,0.296923906
302,0.598569136
303,0.475413609
304,0.158309003
305,0.011625766
306,0.138049396
307,-0.064244194
308,-0.346747679
309,0.246988348
401,1.733126858
402,1.460999763
403,1.785548015
404,2.452530314
405,1.736868408
406,3.255207922
407,2.673051632
501,1.275428075
502,2.541696257
503,2.282865146
504,2.09939767
505,1.202043715
601,2.489985271
602,2.576317105
603,2.87248481
701,2.37043978
702,2.369190405
801,0.043254688
802,0.910952419
803,1.749079408
804,1.947966806
805,2.191114969
806,2.519503406
807,2.571319603
901,-0.222954312
902,-0.102784134
903,0.096793708
904,0.104763408
905,0.368493385
906,0.581663116
907,0.384235514
908,0.437445751
909,0.683355691
1001,1.396242668
1002,1.802822273
1003,1.924820484
1004,1.727649333
1005,1.224940161
1006,1.231877482
1007,1.725334701
1008,1.809213814
1009,1.376213209
1010,1.386359452
1101,1.316045924
1102,1.49397012
1103,0.56071964
1104,1.369381099
1105,1.503268103
1106,0.918737999
1107,0.966944159
1108,0.816848155
1109,0.387963913
1201,1.618184329
1202,1.549442384
1203,1.660130461
1204,0.881085773
1205,0.563514295
1206,0.829263
1207,0.702727584
1208,0.482410111
1209,0.658473395
1301,1.232771772
1302,1.025756858
1303,0.839705147
1304,0.943390147
1305,0.565999895
1306,0.925274205
1307,0.584701071
1308,0.326211894
1309,0.554637155
1401,1.741629185
1402,1.069261422
1403,0.917528078
1404,1.760639417
1405,1.376916805
1406,0.916929693
1407,1.312258345
1408,1.039414503
1409,0.415884163
1501,0.033220232
1502,0.389318499
1503,0.647590678
1504,-0.027821616
1601,0.049744864
1602,0.329420816
1603,0.458211684
1604,0.102481654
1605,-0.071424814
1606,-0.053006392
1607,-0.322996397
1608,0.09501828
1609,0.354118993
1701,2.563843078
1702,2.721093401
1703,2.843512454
1801,2.088002052
1802,1.989853757
1803,1.74690944
1804,2.067111181
1805,1.998099634
1806,2.199222757
1807,1.43649228
1808,0.684730003
1901,2.316710066
1902,2.412721271
1903,2.884018517
2001,2.497448644
2002,2.441562114
2003,2.952938005
2004,2.654968568
2005,2.044063495
2006,2.170316158
2007,2.304847576
2008,1.769122018
2009,1.818524948
2010,2.128310845
2101,2.585871538
2102,2.886885505
2103,2.777861069
2104,2.035732134
2105,2.242003998
2106,2.72551882
2107,1.42069097
2108,1.189517084
2109,1.48853205
2201,-0.12642363
2202,-0.479720666
2203,-0.514446724
2204,0.047719561
2205,-0.364870196
2206,-0.677516505
2207,-0.140094426
2208,-0.258798232
2209,-0.397985218
2210,0.28345038
2301,0.745232647
2302,0.716904706
2303,0.711354849
2304,0.364002209
2305,0.272074489
2306,0.117211131
2401,1.813422236
2402,1.818531524
2403,2.566440464
2404,1.725545122
2405,1.756424419
2406,2.546286067
2407,1.9032852
2501,2.301237539
2502,1.31455325
2503,0.990498172
2505,0.887727189
2506,1.33324785
2507,1.416837634
2508,0.771009232
2509,1.04655567
2601,1.750874563
2602,1.285751861
2603,2.596589863
2604,2.116191904
2701,2.384873353
2702,2.492964044
2801,3.054485915
2802,2.758706173
2803,3.169724348
2901,1.28958547
2902,1.243049528
2903,1.291466109
2904,0.970994766
2905,1.93997738
2906,2.231206765
2907,2.309923985
2908,1.453273363
3001,0.968344775
3002,1.563244693
3003,2.038198006
3004,3.356545412
3005,2.362318841
3006,1.208408953
3007,2.273060838
3008,2.940799337
3009,1.895453589
3010,1.341533181
3101,0.253702096
3102,0.947624872
3103,1.011027381
3104,0.75877193
3105,0.678364765
3106,0.758798232
3107,0.827803204
3108,0.744423841
3201,2.498073332
3202,2.404968568
3203,2.254320208
3204,2.325468845
3205,2.238512323
3206,2.094945948
3207,2.293931981
3208,2.153298351
3209,1.996521476
3301,1.470356927
3302,0.859175675
3303,1.935058786
3304,1.083537179
3305,0.885629554
3306,1.117408401
3307,1.303571898
3308,1.291623925
3309,0.736934164
3310,0.767793735
3401,0.866961256
3402,0.704752887
3403,0.017898945
3404,0.86963755
3405,0.099318762
3406,-0.386017518
3407,0.662852784
3408,0.05917436
3409,-0.111181251
3501,1.788349246
3502,1.608873195
3503,2.09501828
3504,1.675563534
3505,2.260034456
3506,2.049383203
3507,2.466720587
3508,2.008370815
3509,2.208159078
3601,2.034653726
3602,2.019227228
3603,2.324719219
3604,1.978477866
3605,1.157487046
3606,0.975676635
3607,0.785686104
3608,1.018365817
3609,0.712137352
3610,1.71076304
3701,3.075087456
3801,0.52646703
3802,0.799784318
3803,0.528998659
3804,0.631809095
3805,0.488361083
3806,0.402114732
3807,0.722572924
3901,2.050520792
3902,1.516504905
3903,1.624062969
3904,2.014150819
3905,2.156408638
3906,1.716010416
3907,1.589165943
3908,1.878153029
3909,1.329973171
4001,0.010481601
4002,-0.001782004
4003,0.123346222
4004,0.309654383
4101,1.392106578
4102,0.784443305
4103,0.327757174
4104,0.201438754
4105,1.902627634
4106,0.349627818
4107,0.864791289
4108,1.057918409
4109,0.907158263
4110,0.715102975
4201,1.731101554
4202,2.037921829
4203,1.635813672
4204,1.957106973
4205,1.885905731
4206,2.712466135
4207,2.816124832
4301,2.349601515
4302,2.469186459
4303,2.480312475
4401,1.20209632
4402,1.11336437
4403,1.01111944
4404,1.704404377
4405,0.947736658
4406,0.507759278
4501,1.347780057
4502,1.279445803
4503,1.262388543
4504,1.41116284
4505,1.456857098
4506,1.6243786
4507,1.479102554
4508,1.662241248
4509,1.419349536
4510,1.935893895
4601,0.825791052
4602,0.858938952
4603,0.167942345
4604,0.715175307
4605,0.240353507
4606,1.011717825
4701,2.014163971
4702,1.906053552
4703,2.335075883
4704,1.652976144
4705,1.776052763
4706,2.075330756
4707,1.048521792
4708,1.393730766
4709,1.308575975
4801,1.599285883
4802,1.214530892
4803,2.019976854
4804,1.99496962
4805,1.948459981
4806,2.140120729
4807,2.066184013
4808,2.598930798
4809,2.029241958
4810,2.624043242
5001,2.893918883
5002,2.436614111
5003,3.071043691
5004,2.027671604
5005,1.679460636
5006,2.059165472
5007,2.715865053
5008,1.978924457
5009,1.573406063
50010,-0.606505813
50011,1.094720497
50012,1.397170462
50013,0.965334183