排名,地区,2019年人口
,全国,1395380000
1,广东,113460000
2,山东,100472400
3,河南,96050000
4,四川,83410000
5,江苏,80293000
6,河北,75563000
7,湖南,68602000
8,安徽,63236000
9,湖北,59170000
10,浙江,57370000
11,广西,48850000
12,云南,48005000
13,江西,46221000
14,辽宁,43593000
15,福建,39410000
16,陕西,38354400
17,黑龙江,37887000
18,山西,37023500
19,贵州,35800000
20,重庆,30484300
21,吉林,27174300
22,甘肃,26257100
23,内蒙古,25340000
24,新疆,24446700
25,上海,24237800
26,台湾,23690000
27,北京,21707000
28,天津,15596000
29,海南,9257600
30,香港,7482500
31,宁夏,6817900
32,青海,5983800
33,西藏,3371500
34,澳门,632000
,武汉,10601000
,鄂州,1077700
,孝感,4920000
,随州,2216700
,仙桃,1140000
,黄冈,6330000
,黄石,2470700
,荆门,2896500
,咸宁,2543300
,荆州,5590200
,宜昌,4135900
,襄阳,5669000
,天门,1272300
,十堰,3406000
,神农架,76700
,潜江,966000
,恩施州,3378000