日期,省份,确诊人数,死亡人数,治愈人数
2020/1/21,安徽,1,0,0
2020/1/22,安徽,9,0,0
2020/1/23,安徽,15,0,0
2020/1/24,安徽,39,0,0
2020/1/25,安徽,60,0,0
2020/1/26,安徽,70,0,0
2020/1/27,安徽,106,0,0
2020/1/28,安徽,152,0,2
2020/1/29,安徽,200,0,3
2020/1/30,安徽,237,0,3
2020/1/31,安徽,297,0,5
2020/2/1,安徽,340,0,6
2020/2/2,安徽,408,0,8
2020/2/3,安徽,480,0,14
2020/2/4,安徽,530,0,20
2020/2/5,安徽,591,0,23
2020/2/6,安徽,665,0,47
2020/2/7,安徽,733,0,59
2020/2/8,安徽,779,1,72
2020/2/9,安徽,830,3,89
2020/2/10,安徽,860,4,108
2020/2/11,安徽,889,4,128
2020/1/21,澳门,1,0,0
2020/1/22,澳门,2,0,0
2020/1/23,澳门,2,0,0
2020/1/24,澳门,2,0,0
2020/1/25,澳门,5,0,0
2020/1/26,澳门,6,0,0
2020/1/27,澳门,7,0,0
2020/1/28,澳门,7,0,0
2020/1/29,澳门,7,0,0
2020/1/30,澳门,7,0,0
2020/1/31,澳门,7,0,0
2020/2/1,澳门,8,0,0
2020/2/2,澳门,8,0,0
2020/2/3,澳门,9,0,0
2020/2/4,澳门,10,0,0
2020/2/5,澳门,10,0,0
2020/2/6,澳门,10,0,1
2020/2/7,澳门,10,0,1
2020/2/8,澳门,10,0,1
2020/2/9,澳门,10,0,1
2020/2/10,澳门,10,0,1
2020/2/11,澳门,10,0,1
2020/1/21,北京,10,0,0
2020/1/22,北京,22,0,0
2020/1/23,北京,36,0,0
2020/1/24,北京,41,0,1
2020/1/25,北京,54,0,1
2020/1/26,北京,80,1,1
2020/1/27,北京,91,1,3
2020/1/28,北京,111,1,3
2020/1/29,北京,114,1,4
2020/1/30,北京,139,1,4
2020/1/31,北京,168,1,4
2020/2/1,北京,191,1,8
2020/2/2,北京,212,1,12
2020/2/3,北京,212,1,12
2020/2/4,北京,228,1,23
2020/2/5,北京,253,1,24
2020/2/6,北京,297,1,33
2020/2/7,北京,315,2,34
2020/2/8,北京,326,2,37
2020/2/9,北京,337,2,44
2020/2/10,北京,342,3,48
2020/2/11,北京,342,3,48
2020/1/21,福建,1,0,0
2020/1/22,福建,5,0,0
2020/1/23,福建,10,0,0
2020/1/24,福建,18,0,0
2020/1/25,福建,18,0,0
2020/1/26,福建,59,0,0
2020/1/27,福建,80,0,0
2020/1/28,福建,84,0,0
2020/1/29,福建,101,0,0
2020/1/30,福建,120,0,0
2020/1/31,福建,144,0,0
2020/2/1,福建,159,0,0
2020/2/2,福建,179,0,1
2020/2/3,福建,179,0,1
2020/2/4,福建,194,0,7
2020/2/5,福建,205,0,11
2020/2/6,福建,224,0,15
2020/2/7,福建,239,0,20
2020/2/8,福建,250,0,27
2020/2/9,福建,261,0,38
2020/2/10,福建,267,0,39
2020/2/11,福建,272,0,46
2020/1/21,甘肃,0,0,0
2020/1/22,甘肃,2,0,0
2020/1/23,甘肃,2,0,0
2020/1/24,甘肃,4,0,0
2020/1/25,甘肃,7,0,0
2020/1/26,甘肃,14,0,0
2020/1/27,甘肃,19,0,0
2020/1/28,甘肃,24,0,0
2020/1/29,甘肃,26,0,0
2020/1/30,甘肃,29,0,0
2020/1/31,甘肃,40,0,0
2020/2/1,甘肃,40,0,3
2020/2/2,甘肃,51,0,3
2020/2/3,甘肃,55,0,3
2020/2/4,甘肃,57,0,4
2020/2/5,甘肃,62,0,4
2020/2/6,甘肃,67,0,9
2020/2/7,甘肃,71,1,9
2020/2/8,甘肃,79,1,13
2020/2/9,甘肃,83,2,17
2020/2/10,甘肃,86,2,21
2020/2/11,甘肃,86,2,24
2020/1/21,广东,26,0,0
2020/1/22,广东,32,0,2
2020/1/23,广东,53,0,2
2020/1/24,广东,78,0,2
2020/1/25,广东,98,0,2
2020/1/26,广东,151,0,3
2020/1/27,广东,207,0,4
2020/1/28,广东,277,0,6
2020/1/29,广东,354,0,10
2020/1/30,广东,436,0,11
2020/1/31,广东,535,0,11
2020/2/1,广东,632,0,13
2020/2/2,广东,725,0,19
2020/2/3,广东,797,0,20
2020/2/4,广东,870,0,32
2020/2/5,广东,944,0,49
2020/2/6,广东,1034,1,88
2020/2/7,广东,1075,1,97
2020/2/8,广东,1120,1,127
2020/2/9,广东,1159,1,163
2020/2/10,广东,1177,1,181
2020/2/11,广东,1219,1,241
2020/1/21,广西,2,0,0
2020/1/22,广西,5,0,0
2020/1/23,广西,13,0,0
2020/1/24,广西,23,0,0
2020/1/25,广西,33,0,0
2020/1/26,广西,46,0,0
2020/1/27,广西,51,0,2
2020/1/28,广西,58,0,2
2020/1/29,广西,78,0,2
2020/1/30,广西,87,0,2
2020/1/31,广西,100,0,2
2020/2/1,广西,111,0,2
2020/2/2,广西,127,0,7
2020/2/3,广西,139,0,7
2020/2/4,广西,150,0,10
2020/2/5,广西,168,0,14
2020/2/6,广西,172,0,17
2020/2/7,广西,183,0,17
2020/2/8,广西,195,1,18
2020/2/9,广西,210,1,18
2020/2/10,广西,215,1,30
2020/2/11,广西,222,1,31
2020/1/21,贵州,1,0,0
2020/1/22,贵州,3,0,0
2020/1/23,贵州,3,0,0
2020/1/24,贵州,4,0,0
2020/1/25,贵州,5,0,0
2020/1/26,贵州,7,0,0
2020/1/27,贵州,9,0,0
2020/1/28,贵州,9,0,1
2020/1/29,贵州,12,0,1
2020/1/30,贵州,29,0,2
2020/1/31,贵州,29,0,2
2020/2/1,贵州,38,0,2
2020/2/2,贵州,46,0,2
2020/2/3,贵州,56,0,2
2020/2/4,贵州,64,0,5
2020/2/5,贵州,69,1,6
2020/2/6,贵州,83,1,6
2020/2/7,贵州,89,1,6
2020/2/8,贵州,96,1,7
2020/2/9,贵州,109,1,7
2020/2/10,贵州,127,1,13
2020/2/11,贵州,131,1,17
2020/1/21,海南,4,0,0
2020/1/22,海南,5,0,0
2020/1/23,海南,8,0,0
2020/1/24,海南,19,0,0
2020/1/25,海南,22,0,0
2020/1/26,海南,33,1,0
2020/1/27,海南,40,1,0
2020/1/28,海南,43,1,1
2020/1/29,海南,46,1,1
2020/1/30,海南,52,1,1
2020/1/31,海南,62,1,1
2020/2/1,海南,64,1,4
2020/2/2,海南,71,1,4
2020/2/3,海南,79,1,4
2020/2/4,海南,80,1,5
2020/2/5,海南,105,1,5
2020/2/6,海南,117,2,10
2020/2/7,海南,124,2,11
2020/2/8,海南,128,3,15
2020/2/9,海南,138,3,19
2020/2/10,海南,142,3,19
2020/2/11,海南,151,3,20
2020/1/21,河北,1,0,0
2020/1/22,河北,1,0,0
2020/1/23,河北,2,1,0
2020/1/24,河北,8,1,0
2020/1/25,河北,13,1,0
2020/1/26,河北,18,1,0
2020/1/27,河北,33,1,0
2020/1/28,河北,48,1,0
2020/1/29,河北,65,1,0
2020/1/30,河北,82,1,0
2020/1/31,河北,96,1,0
2020/2/1,河北,104,1,3
2020/2/2,河北,113,1,3
2020/2/3,河北,126,1,3
2020/2/4,河北,135,1,4
2020/2/5,河北,157,1,7
2020/2/6,河北,172,1,16
2020/2/7,河北,195,1,25
2020/2/8,河北,206,2,30
2020/2/9,河北,218,2,35
2020/2/10,河北,239,2,41
2020/2/11,河北,251,2,48
2020/1/21,河南,5,0,0
2020/1/22,河南,5,0,0
2020/1/23,河南,9,0,0
2020/1/24,河南,32,0,0
2020/1/25,河南,83,1,0
2020/1/26,河南,128,1,0
2020/1/27,河南,168,1,0
2020/1/28,河南,206,2,0
2020/1/29,河南,278,2,2
2020/1/30,河南,352,2,3
2020/1/31,河南,422,2,3
2020/2/1,河南,493,2,12
2020/2/2,河南,566,2,15
2020/2/3,河南,675,2,20
2020/2/4,河南,764,2,41
2020/2/5,河南,851,2,49
2020/2/6,河南,914,3,84
2020/2/7,河南,981,4,97
2020/2/8,河南,1033,6,131
2020/2/9,河南,1073,6,181
2020/2/10,河南,1105,7,198
2020/2/11,河南,1135,8,231
2020/1/21,黑龙江,0,0,0
2020/1/22,黑龙江,2,0,0
2020/1/23,黑龙江,4,1,0
2020/1/24,黑龙江,9,1,0
2020/1/25,黑龙江,15,1,0
2020/1/26,黑龙江,21,1,0
2020/1/27,黑龙江,30,1,0
2020/1/28,黑龙江,38,1,0
2020/1/29,黑龙江,44,2,0
2020/1/30,黑龙江,59,2,0
2020/1/31,黑龙江,80,2,0
2020/2/1,黑龙江,95,2,2
2020/2/2,黑龙江,121,2,2
2020/2/3,黑龙江,155,2,2
2020/2/4,黑龙江,190,2,4
2020/2/5,黑龙江,227,3,7
2020/2/6,黑龙江,277,3,12
2020/2/7,黑龙江,295,5,12
2020/2/8,黑龙江,307,6,14
2020/2/9,黑龙江,331,7,15
2020/2/10,黑龙江,360,8,27
2020/2/11,黑龙江,378,8,28
2020/1/21,湖北,444,17,0
2020/1/22,湖北,444,17,28
2020/1/23,湖北,529,24,31
2020/1/24,湖北,730,39,32
2020/1/25,湖北,1052,52,42
2020/1/26,湖北,1423,76,44
2020/1/27,湖北,2714,100,47
2020/1/28,湖北,3554,125,80
2020/1/29,湖北,4903,162,90
2020/1/30,湖北,5806,204,116
2020/1/31,湖北,7153,249,166
2020/2/1,湖北,9074,294,215
2020/2/2,湖北,11177,350,297
2020/2/3,湖北,13522,414,396
2020/2/4,湖北,16678,479,520
2020/2/5,湖北,19665,549,633
2020/2/6,湖北,22112,618,817
2020/2/7,湖北,24953,699,1115
2020/2/8,湖北,27100,780,1439
2020/2/9,湖北,29631,871,1795
2020/2/10,湖北,31728,974,2222
2020/2/11,湖北,33366,1068,2639
2020/1/21,湖南,4,0,0
2020/1/22,湖南,9,0,0
2020/1/23,湖南,24,0,0
2020/1/24,湖南,43,0,0
2020/1/25,湖南,69,0,0
2020/1/26,湖南,100,0,0
2020/1/27,湖南,143,0,0
2020/1/28,湖南,221,0,0
2020/1/29,湖南,277,0,2
2020/1/30,湖南,332,0,2
2020/1/31,湖南,389,0,5
2020/2/1,湖南,463,0,12
2020/2/2,湖南,521,0,21
2020/2/3,湖南,593,0,22
2020/2/4,湖南,661,0,35
2020/2/5,湖南,711,0,56
2020/2/6,湖南,772,0,112
2020/2/7,湖南,803,0,119
2020/2/8,湖南,838,1,159
2020/2/9,湖南,879,1,204
2020/2/10,湖南,912,1,213
2020/2/11,湖南,946,2,263
2020/1/21,吉林,0,0,0
2020/1/22,吉林,1,0,0
2020/1/23,吉林,3,0,0
2020/1/24,吉林,4,0,0
2020/1/25,吉林,4,0,0
2020/1/26,吉林,6,0,0
2020/1/27,吉林,8,0,0
2020/1/28,吉林,9,0,0
2020/1/29,吉林,14,0,1
2020/1/30,吉林,14,0,1
2020/1/31,吉林,17,0,1
2020/2/1,吉林,23,0,1
2020/2/2,吉林,31,0,1
2020/2/3,吉林,42,0,1
2020/2/4,吉林,54,0,1
2020/2/5,吉林,59,0,2
2020/2/6,吉林,65,1,4
2020/2/7,吉林,69,1,4
2020/2/8,吉林,78,1,5
2020/2/9,吉林,80,1,12
2020/2/10,吉林,81,1,13
2020/2/11,吉林,83,1,18
2020/1/21,江苏,0,0,0
2020/1/22,江苏,5,0,0
2020/1/23,江苏,9,0,0
2020/1/24,江苏,18,0,1
2020/1/25,江苏,31,0,1
2020/1/26,江苏,47,0,1
2020/1/27,江苏,70,0,1
2020/1/28,江苏,99,0,1
2020/1/29,江苏,129,0,1
2020/1/30,江苏,168,0,5
2020/1/31,江苏,202,0,6
2020/2/1,江苏,236,0,7
2020/2/2,江苏,271,0,7
2020/2/3,江苏,308,0,8
2020/2/4,江苏,341,0,13
2020/2/5,江苏,373,0,26
2020/2/6,江苏,408,0,43
2020/2/7,江苏,439,0,43
2020/2/8,江苏,468,0,70
2020/2/9,江苏,492,0,80
2020/2/10,江苏,515,0,84
2020/2/11,江苏,543,0,94
2020/1/21,江西,2,0,0
2020/1/22,江西,3,0,0
2020/1/23,江西,7,0,0
2020/1/24,江西,18,0,0
2020/1/25,江西,36,0,0
2020/1/26,江西,48,0,0
2020/1/27,江西,72,0,3
2020/1/28,江西,109,0,3
2020/1/29,江西,162,0,3
2020/1/30,江西,240,0,6
2020/1/31,江西,286,0,8
2020/2/1,江西,333,0,9
2020/2/2,江西,391,0,18
2020/2/3,江西,476,0,19
2020/2/4,江西,548,0,27
2020/2/5,江西,600,0,37
2020/2/6,江西,661,0,45
2020/2/7,江西,698,0,55
2020/2/8,江西,740,0,72
2020/2/9,江西,771,1,102
2020/2/10,江西,804,1,127
2020/2/11,江西,844,1,152
2020/1/21,辽宁,2,0,0
2020/1/22,辽宁,3,0,0
2020/1/23,辽宁,4,0,0
2020/1/24,辽宁,16,0,0
2020/1/25,辽宁,19,0,0
2020/1/26,辽宁,27,0,0
2020/1/27,辽宁,34,0,0
2020/1/28,辽宁,39,0,1
2020/1/29,辽宁,41,0,1
2020/1/30,辽宁,48,0,1
2020/1/31,辽宁,64,0,1
2020/2/1,辽宁,70,0,1
2020/2/2,辽宁,73,0,1
2020/2/3,辽宁,74,0,1
2020/2/4,辽宁,81,0,2
2020/2/5,辽宁,89,0,4
2020/2/6,辽宁,96,0,7
2020/2/7,辽宁,99,0,7
2020/2/8,辽宁,105,0,8
2020/2/9,辽宁,108,0,13
2020/2/10,辽宁,111,0,18
2020/2/11,辽宁,116,0,19
2020/1/21,内蒙古,0,0,0
2020/1/22,内蒙古,0,0,0
2020/1/23,内蒙古,2,0,0
2020/1/24,内蒙古,7,0,0
2020/1/25,内蒙古,7,0,0
2020/1/26,内蒙古,11,0,0
2020/1/27,内蒙古,15,0,0
2020/1/28,内蒙古,16,0,0
2020/1/29,内蒙古,18,0,0
2020/1/30,内蒙古,20,0,1
2020/1/31,内蒙古,23,0,1
2020/2/1,内蒙古,27,0,1
2020/2/2,内蒙古,34,0,1
2020/2/3,内蒙古,34,0,1
2020/2/4,内蒙古,42,0,1
2020/2/5,内蒙古,46,0,3
2020/2/6,内蒙古,46,0,4
2020/2/7,内蒙古,52,0,5
2020/2/8,内蒙古,54,0,5
2020/2/9,内蒙古,58,0,5
2020/2/10,内蒙古,58,0,5
2020/2/11,内蒙古,60,0,5
2020/1/21,宁夏,1,0,0
2020/1/22,宁夏,1,0,0
2020/1/23,宁夏,2,0,0
2020/1/24,宁夏,3,0,0
2020/1/25,宁夏,4,0,0
2020/1/26,宁夏,7,0,0
2020/1/27,宁夏,11,0,0
2020/1/28,宁夏,12,0,0
2020/1/29,宁夏,17,0,0
2020/1/30,宁夏,21,0,0
2020/1/31,宁夏,26,0,0
2020/2/1,宁夏,28,0,0
2020/2/2,宁夏,31,0,1
2020/2/3,宁夏,34,0,1
2020/2/4,宁夏,34,0,1
2020/2/5,宁夏,40,0,1
2020/2/6,宁夏,43,0,5
2020/2/7,宁夏,45,0,5
2020/2/8,宁夏,45,0,13
2020/2/9,宁夏,49,0,13
2020/2/10,宁夏,53,0,14
2020/2/11,宁夏,58,0,22
2020/1/21,青海,0,0,0
2020/1/22,青海,0,0,0
2020/1/23,青海,0,0,0
2020/1/24,青海,1,0,0
2020/1/25,青海,1,0,0
2020/1/26,青海,6,0,0
2020/1/27,青海,6,0,0
2020/1/28,青海,7,0,0
2020/1/29,青海,8,0,0
2020/1/30,青海,8,0,0
2020/1/31,青海,9,0,0
2020/2/1,青海,11,0,0
2020/2/2,青海,13,0,0
2020/2/3,青海,15,0,0
2020/2/4,青海,17,0,0
2020/2/5,青海,18,0,3
2020/2/6,青海,18,0,3
2020/2/7,青海,18,0,3
2020/2/8,青海,18,0,3
2020/2/9,青海,18,0,3
2020/2/10,青海,18,0,3
2020/2/11,青海,18,0,5
2020/1/21,山东,2,0,0
2020/1/22,山东,6,0,0
2020/1/23,山东,15,0,0
2020/1/24,山东,27,0,0
2020/1/25,山东,39,0,0
2020/1/26,山东,75,0,1
2020/1/27,山东,95,0,1
2020/1/28,山东,130,0,1
2020/1/29,山东,158,0,1
2020/1/30,山东,184,0,2
2020/1/31,山东,206,0,3
2020/2/1,山东,230,0,5
2020/2/2,山东,259,0,7
2020/2/3,山东,270,0,7
2020/2/4,山东,298,0,13
2020/2/5,山东,343,0,18
2020/2/6,山东,379,0,37
2020/2/7,山东,407,0,38
2020/2/8,山东,435,1,50
2020/2/9,山东,459,1,63
2020/2/10,山东,487,1,75
2020/2/11,山东,497,1,80
2020/1/21,山西,1,0,0
2020/1/22,山西,1,0,0
2020/1/23,山西,1,0,0
2020/1/24,山西,6,0,0
2020/1/25,山西,9,0,0
2020/1/26,山西,13,0,0
2020/1/27,山西,20,0,0
2020/1/28,山西,27,0,1
2020/1/29,山西,35,0,1
2020/1/30,山西,39,0,1
2020/1/31,山西,47,0,1
2020/2/1,山西,56,0,2
2020/2/2,山西,66,0,2
2020/2/3,山西,74,0,2
2020/2/4,山西,81,0,4
2020/2/5,山西,90,0,6
2020/2/6,山西,96,0,15
2020/2/7,山西,104,0,15
2020/2/8,山西,115,0,21
2020/2/9,山西,119,0,25
2020/2/10,山西,122,0,26
2020/2/11,山西,124,0,30
2020/1/21,陕西,0,0,0
2020/1/22,陕西,3,0,0
2020/1/23,陕西,5,0,0
2020/1/24,陕西,15,0,0
2020/1/25,陕西,22,0,0
2020/1/26,陕西,35,0,0
2020/1/27,陕西,46,0,0
2020/1/28,陕西,56,0,0
2020/1/29,陕西,63,0,0
2020/1/30,陕西,87,0,0
2020/1/31,陕西,101,0,0
2020/2/1,陕西,116,0,0
2020/2/2,陕西,128,0,0
2020/2/3,陕西,128,0,1
2020/2/4,陕西,142,0,2
2020/2/5,陕西,165,0,6
2020/2/6,陕西,184,0,17
2020/2/7,陕西,195,0,17
2020/2/8,陕西,208,0,25
2020/2/9,陕西,213,0,29
2020/2/10,陕西,219,0,31
2020/2/11,陕西,219,0,31
2020/1/21,上海,9,0,0
2020/1/22,上海,16,0,0
2020/1/23,上海,20,0,1
2020/1/24,上海,33,0,1
2020/1/25,上海,40,1,1
2020/1/26,上海,53,1,3
2020/1/27,上海,66,1,4
2020/1/28,上海,96,1,5
2020/1/29,上海,112,1,5
2020/1/30,上海,135,1,9
2020/1/31,上海,169,1,10
2020/2/1,上海,182,1,10
2020/2/2,上海,203,1,10
2020/2/3,上海,208,1,10
2020/2/4,上海,233,1,12
2020/2/5,上海,254,1,15
2020/2/6,上海,277,1,30
2020/2/7,上海,281,1,30
2020/2/8,上海,292,1,44
2020/2/9,上海,299,1,48
2020/2/10,上海,303,1,53
2020/2/11,上海,306,1,53
2020/1/21,四川,5,0,0
2020/1/22,四川,8,0,0
2020/1/23,四川,15,0,0
2020/1/24,四川,28,0,0
2020/1/25,四川,44,0,0
2020/1/26,四川,69,0,0
2020/1/27,四川,90,0,0
2020/1/28,四川,108,0,1
2020/1/29,四川,142,1,1
2020/1/30,四川,177,1,1
2020/1/31,四川,207,1,3
2020/2/1,四川,231,1,9
2020/2/2,四川,254,1,13
2020/2/3,四川,282,1,14
2020/2/4,四川,301,1,23
2020/2/5,四川,321,1,27
2020/2/6,四川,344,1,37
2020/2/7,四川,363,1,50
2020/2/8,四川,386,1,62
2020/2/9,四川,405,1,80
2020/2/10,四川,417,1,82
2020/2/11,四川,436,1,85
2020/1/21,台湾,1,0,0
2020/1/22,台湾,1,0,0
2020/1/23,台湾,1,0,0
2020/1/24,台湾,3,0,0
2020/1/25,台湾,3,0,0
2020/1/26,台湾,5,0,0
2020/1/27,台湾,8,0,0
2020/1/28,台湾,8,0,0
2020/1/29,台湾,9,0,0
2020/1/30,台湾,10,0,0
2020/1/31,台湾,10,0,0
2020/2/1,台湾,10,0,0
2020/2/2,台湾,10,0,0
2020/2/3,台湾,10,0,0
2020/2/4,台湾,11,0,0
2020/2/5,台湾,11,0,0
2020/2/6,台湾,16,0,1
2020/2/7,台湾,17,0,1
2020/2/8,台湾,17,0,1
2020/2/9,台湾,18,0,1
2020/2/10,台湾,18,0,1
2020/2/11,台湾,18,0,1
2020/1/21,天津,4,0,0
2020/1/22,天津,4,0,0
2020/1/23,天津,8,0,0
2020/1/24,天津,10,0,0
2020/1/25,天津,13,0,0
2020/1/26,天津,22,0,0
2020/1/27,天津,24,0,0
2020/1/28,天津,27,0,0
2020/1/29,天津,31,0,0
2020/1/30,天津,32,0,0
2020/1/31,天津,41,0,0
2020/2/1,天津,48,0,0
2020/2/2,天津,60,0,1
2020/2/3,天津,60,0,1
2020/2/4,天津,67,0,2
2020/2/5,天津,69,1,2
2020/2/6,天津,81,1,2
2020/2/7,天津,88,1,2
2020/2/8,天津,90,1,4
2020/2/9,天津,94,1,8
2020/2/10,天津,104,2,10
2020/2/11,天津,107,2,10
2020/1/21,西藏,0,0,0
2020/1/22,西藏,0,0,0
2020/1/23,西藏,0,0,0
2020/1/24,西藏,0,0,0
2020/1/25,西藏,0,0,0
2020/1/26,西藏,0,0,0
2020/1/27,西藏,0,0,0
2020/1/28,西藏,0,0,0
2020/1/29,西藏,1,0,0
2020/1/30,西藏,1,0,0
2020/1/31,西藏,1,0,0
2020/2/1,西藏,1,0,0
2020/2/2,西藏,1,0,0
2020/2/3,西藏,1,0,0
2020/2/4,西藏,1,0,0
2020/2/5,西藏,1,0,0
2020/2/6,西藏,1,0,0
2020/2/7,西藏,1,0,0
2020/2/8,西藏,1,0,0
2020/2/9,西藏,1,0,0
2020/2/10,西藏,1,0,0
2020/2/11,西藏,1,0,0
2020/1/21,香港,0,0,0
2020/1/22,香港,2,0,0
2020/1/23,香港,2,0,0
2020/1/24,香港,5,0,0
2020/1/25,香港,5,0,0
2020/1/26,香港,8,0,0
2020/1/27,香港,8,0,0
2020/1/28,香港,10,0,0
2020/1/29,香港,10,0,0
2020/1/30,香港,12,0,0
2020/1/31,香港,13,0,0
2020/2/1,香港,14,0,0
2020/2/2,香港,15,0,0
2020/2/3,香港,15,0,0
2020/2/4,香港,18,1,0
2020/2/5,香港,21,1,0
2020/2/6,香港,25,1,0
2020/2/7,香港,26,1,0
2020/2/8,香港,26,1,0
2020/2/9,香港,38,1,0
2020/2/10,香港,49,1,0
2020/2/11,香港,49,1,0
2020/1/21,新疆,0,0,0
2020/1/22,新疆,2,0,0
2020/1/23,新疆,2,0,0
2020/1/24,新疆,3,0,0
2020/1/25,新疆,4,0,0
2020/1/26,新疆,5,0,0
2020/1/27,新疆,10,0,0
2020/1/28,新疆,13,0,0
2020/1/29,新疆,14,0,0
2020/1/30,新疆,17,0,0
2020/1/31,新疆,18,0,0
2020/2/1,新疆,21,0,0
2020/2/2,新疆,24,0,0
2020/2/3,新疆,29,0,0
2020/2/4,新疆,32,0,0
2020/2/5,新疆,36,0,0
2020/2/6,新疆,36,0,0
2020/2/7,新疆,42,0,0
2020/2/8,新疆,45,0,0
2020/2/9,新疆,49,0,0
2020/2/10,新疆,55,0,0
2020/2/11,新疆,59,0,3
2020/1/21,云南,1,0,0
2020/1/22,云南,1,0,0
2020/1/23,云南,5,0,0
2020/1/24,云南,11,0,0
2020/1/25,云南,11,0,0
2020/1/26,云南,26,0,0
2020/1/27,云南,44,0,0
2020/1/28,云南,55,0,0
2020/1/29,云南,70,0,0
2020/1/30,云南,83,0,1
2020/1/31,云南,91,0,2
2020/2/1,云南,105,0,3
2020/2/2,云南,114,0,5
2020/2/3,云南,117,0,5
2020/2/4,云南,122,0,5
2020/2/5,云南,128,0,5
2020/2/6,云南,136,0,12
2020/2/7,云南,138,0,12
2020/2/8,云南,140,0,17
2020/2/9,云南,149,0,19
2020/2/10,云南,153,0,20
2020/2/11,云南,153,0,20
2020/1/21,浙江,10,0,0
2020/1/22,浙江,27,0,1
2020/1/23,浙江,43,0,1
2020/1/24,浙江,62,0,1
2020/1/25,浙江,104,0,1
2020/1/26,浙江,128,0,1
2020/1/27,浙江,173,0,3
2020/1/28,浙江,296,0,4
2020/1/29,浙江,428,0,8
2020/1/30,浙江,538,0,9
2020/1/31,浙江,599,0,20
2020/2/1,浙江,661,0,23
2020/2/2,浙江,724,0,43
2020/2/3,浙江,829,0,48
2020/2/4,浙江,895,0,63
2020/2/5,浙江,954,0,81
2020/2/6,浙江,1006,0,122
2020/2/7,浙江,1048,0,127
2020/2/8,浙江,1075,0,185
2020/2/9,浙江,1092,0,239
2020/2/10,浙江,1117,0,250
2020/2/11,浙江,1131,0,279
2020/1/21,重庆,6,0,0
2020/1/22,重庆,9,0,0
2020/1/23,重庆,27,0,0
2020/1/24,重庆,57,0,0
2020/1/25,重庆,75,0,0
2020/1/26,重庆,110,0,0
2020/1/27,重庆,132,0,0
2020/1/28,重庆,147,0,0
2020/1/29,重庆,182,0,2
2020/1/30,重庆,211,0,2
2020/1/31,重庆,247,1,3
2020/2/1,重庆,275,1,8
2020/2/2,重庆,312,2,8
2020/2/3,重庆,337,2,9
2020/2/4,重庆,366,2,14
2020/2/5,重庆,389,2,15
2020/2/6,重庆,415,2,31
2020/2/7,重庆,426,2,31
2020/2/8,重庆,446,2,39
2020/2/9,重庆,466,2,64
2020/2/10,重庆,489,2,72
2020/2/11,重庆,505,3,79
2020/1/21,总计,544,17,0
2020/1/22,总计,639,17,0
2020/1/23,总计,881,26,35
2020/1/24,总计,1377,41,38
2020/1/25,总计,2005,56,48
2020/1/26,总计,2857,82,54
2020/1/27,总计,4630,106,68
2020/1/28,总计,6096,132,112
2020/1/29,总计,8149,171,139
2020/1/30,总计,9812,213,183
2020/1/31,总计,11899,259,258
2020/2/1,总计,14490,304,361
2020/2/2,总计,17339,361,512
2020/2/3,总计,20420,425,634
2020/2/4,总计,24295,491,893
2020/2/5,总计,28025,564,1139
2020/2/6,总计,31249,637,1682
2020/2/7,总计,34622,723,2067
2020/2/8,总计,37251,813,2714
2020/2/9,总计,40247,909,3430
2020/2/10,总计,42744,1017,4045
2020/2/11,总计,44725,1114,4751
